category,series_name,period,value
,        U.S Housing Starts ('000 Units),Unnamed: 15,1177.083333
,        U.S Housing Starts ('000 Units),Unnamed: 16,1106.75
,        U.S Housing Starts ('000 Units),Unnamed: 17,1000.25
,        U.S Housing Starts ('000 Units),Unnamed: 18,928.1666667
,        U.S Housing Starts ('000 Units),Unnamed: 19,783.75
,        U.S Housing Starts ('000 Units),Unnamed: 20,611.9166667
,        U.S Housing Starts ('000 Units),Unnamed: 21,585.5
,        U.S Housing Starts ('000 Units),Unnamed: 22,554.0
,        U.S Housing Starts ('000 Units),Unnamed: 23,900.0
,        U.S Housing Starts ('000 Units),Unnamed: 24,1341.833333
,        U.S Housing Starts ('000 Units),Unnamed: 25,1811.916667
,        U.S Housing Starts ('000 Units),Unnamed: 26,2072.916667
,        U.S Housing Starts ('000 Units),Unnamed: 27,1949.5
,        U.S Housing Starts ('000 Units),Unnamed: 28,1853.75
,        U.S Housing Starts ('000 Units),Unnamed: 29,1710.25
,        U.S Housing Starts ('000 Units),Unnamed: 30,1601.166667
,        U.S Housing Starts ('000 Units),Unnamed: 31,1573.333333
,        U.S Housing Starts ('000 Units),Unnamed: 32,1651.916667
,        U.S Housing Starts ('000 Units),Unnamed: 33,1615.166667
,        U.S Housing Starts ('000 Units),Unnamed: 34,1474.583333
,        U.S Housing Starts ('000 Units),Unnamed: 35,1468.666667
,        U.S Housing Starts ('000 Units),Unnamed: 36,1361.0
,        U.S Housing Starts ('000 Units),Unnamed: 37,1446.0
,        U.S Housing Starts ('000 Units),Unnamed: 38,1291.583333
,        U.S Housing Starts ('000 Units),Unnamed: 39,1201.416667
,        U.S Housing Starts ('000 Units),Unnamed: 40,1008.75
,        U.S Housing Starts ('000 Units),Unnamed: 41,1203.166667
,        U.S Housing Starts ('000 Units),Unnamed: 42,1382.083333
,        U.S Housing Starts ('000 Units),Unnamed: 43,1487.833333
,        U.S Housing Starts ('000 Units),Unnamed: 44,1630.5
,        U.S Housing Starts ('000 Units),Unnamed: 6,1352.8
,        U.S Housing Starts ('000 Units),Unnamed: 7,1370.583333
,        U.S Housing Starts ('000 Units),Unnamed: 8,1420.583333
,        U.S Housing Starts ('000 Units),Unnamed: 9,1551.5
,        U.S. Architecture Billing Index SA,Unnamed: 14,50.9
,        U.S. Architecture Billing Index SA,Unnamed: 15,55.5804051
,        U.S. Architecture Billing Index SA,Unnamed: 16,51.15582544
,        U.S. Architecture Billing Index SA,Unnamed: 17,52.98676578
,        U.S. Architecture Billing Index SA,Unnamed: 18,49.06933661
,        U.S. Architecture Billing Index SA,Unnamed: 19,51.56701829
,        U.S. Architecture Billing Index SA,Unnamed: 20,50.50575451
,        U.S. Architecture Billing Index SA,Unnamed: 21,52.45526524
,        U.S. Architecture Billing Index SA,Unnamed: 22,44.00092566
,        U.S. Architecture Billing Index SA,Unnamed: 23,34.6997489
,        U.S. Architecture Billing Index SA,Unnamed: 24,52.88247
,        U.S. Architecture Billing Index SA,Unnamed: 25,55.43557641
,        U.S. Architecture Billing Index SA,Unnamed: 26,50.33008572
,        U.S. Architecture Billing Index SA,Unnamed: 27,48.10085703
,        U.S. Architecture Billing Index SA,Unnamed: 28,50.324633
,        U.S. Architecture Billing Index SA,Unnamed: 29,47.77477035
,        U.S. Architecture Billing Index SA,Unnamed: 30,45.5980669
,        U.S. Architecture Billing Index SA,Unnamed: 31,53.17886621
,        U.S. Architecture Billing Index SA,Unnamed: 32,57.73676793
,        U.S. Architecture Billing Index SA,Unnamed: 33,55.22759601
,        U.S. Architecture Billing Index SA,Unnamed: 34,51.28729616
,        U.S. Architecture Billing Index SA,Unnamed: 35,44.64082819
,        U.S. Architecture Billing Index SA,Unnamed: 36,53.43487098
